time_s,gx,gy,gz,bmag
5.685,-2.828000,-0.266000,0.265000,2.852817
5.685,-2.824000,-0.264000,0.291000,2.851202
5.785,-2.819000,-0.249000,0.278000,2.843597
5.786,-2.827000,-0.262000,0.270000,2.851924
5.885,-2.818000,-0.261000,0.272000,2.843102
5.892,-2.824000,-0.257000,0.285000,2.849956
5.985,-2.824000,-0.256000,0.270000,2.848405
5.999,-2.819000,-0.264000,0.278000,2.844950
6.085,-2.820000,-0.259000,0.272000,2.844902
6.106,-2.825000,-0.251000,0.273000,2.849238
6.185,-2.824000,-0.261000,0.273000,2.849145
6.284,-2.827000,-0.258000,0.274000,2.851941
6.284,-2.819000,-0.258000,0.283000,2.844893
6.385,-2.827000,-0.262000,0.276000,2.852499
6.385,-2.818000,-0.255000,0.273000,2.842653
6.484,-2.818000,-0.254000,0.277000,2.842951
6.485,-2.825000,-0.251000,0.278000,2.849721
6.584,-2.826000,-0.260000,0.276000,2.851325
6.589,-2.820000,-0.256000,0.274000,2.844822
6.685,-2.821000,-0.259000,0.275000,2.846181
6.695,-2.821000,-0.263000,0.269000,2.845975
6.785,-2.822000,-0.262000,0.276000,2.847544
6.802,-2.830000,-0.261000,0.275000,2.855284
6.885,-2.822000,-0.262000,0.283000,2.848231
6.984,-2.814000,-0.257000,0.281000,2.839649
6.984,-2.831000,-0.258000,0.284000,2.856883
7.084,-2.824000,-0.256000,0.283000,2.849667
7.084,-2.826000,-0.262000,0.277000,2.851605
7.185,-2.822000,-0.253000,0.274000,2.846536
7.185,-2.816000,-0.248000,0.283000,2.841030
7.284,-2.827000,-0.269000,0.275000,2.853054
7.284,-2.821000,-0.269000,0.269000,2.846535
7.384,-2.825000,-0.262000,0.278000,2.850711
7.387,-2.821000,-0.255000,0.279000,2.846209
7.484,-2.819000,-0.257000,0.279000,2.844407
7.494,-2.822000,-0.262000,0.271000,2.847063
7.585,-2.826000,-0.266000,0.264000,2.850742
7.600,-2.827000,-0.265000,0.289000,2.854063
7.685,-2.819000,-0.263000,0.273000,2.844373
7.785,-2.828000,-0.261000,0.272000,2.853014
7.785,-2.831000,-0.253000,0.277000,2.855748
7.885,-2.819000,-0.256000,0.286000,2.845012
7.885,-2.823000,-0.261000,0.276000,2.848443
7.985,-2.823000,-0.259000,0.266000,2.847309
7.985,-2.827000,-0.264000,0.274000,2.852490
8.085,-2.825000,-0.265000,0.268000,2.850031
8.085,-2.829000,-0.257000,0.278000,2.854220
8.184,-2.823000,-0.264000,0.281000,2.849208
8.190,-2.827000,-0.254000,0.271000,2.851295
8.284,-2.827000,-0.251000,0.278000,2.851704
8.297,-2.818000,-0.254000,0.271000,2.842372
8.385,-2.827000,-0.264000,0.283000,2.853369
8.403,-2.823000,-0.258000,0.281000,2.848658
8.485,-2.826000,-0.267000,0.276000,2.851971
8.584,-2.826000,-0.261000,0.276000,2.851416
8.584,-2.833000,-0.262000,0.267000,2.857590
8.684,-2.822000,-0.261000,0.276000,2.847452
8.684,-2.820000,-0.269000,0.275000,2.846118
8.784,-2.825000,-0.263000,0.273000,2.850320
8.784,-2.825000,-0.263000,0.276000,2.850609
8.884,-2.826000,-0.265000,0.273000,2.851496
8.884,-2.820000,-0.268000,0.275000,2.846023
8.984,-2.822000,-0.263000,0.279000,2.847928
8.989,-2.825000,-0.258000,0.277000,2.850249
9.085,-2.820000,-0.260000,0.274000,2.845185
9.095,-2.823000,-0.261000,0.279000,2.848735
9.185,-2.828000,-0.267000,0.274000,2.853761
9.202,-2.812000,-0.259000,0.272000,2.836972
9.285,-2.828000,-0.265000,0.279000,2.854059
9.385,-2.823000,-0.260000,0.281000,2.848840
9.385,-2.827000,-0.266000,0.275000,2.852772
9.485,-2.819000,-0.260000,0.279000,2.844680
9.485,-2.826000,-0.269000,0.266000,2.851209
9.585,-2.827000,-0.263000,0.276000,2.852591
9.585,-2.822000,-0.261000,0.282000,2.848040
9.695,-2.827000,-0.270000,0.270000,2.852671
9.695,-2.819000,-0.263000,0.273000,2.844373
9.784,-2.824000,-0.267000,0.272000,2.849605
9.792,-2.826000,-0.268000,0.274000,2.851872
9.884,-2.824000,-0.260000,0.268000,2.848579
9.898,-2.822000,-0.257000,0.271000,2.846607
9.984,-2.823000,-0.260000,0.279000,2.848644
10.005,-2.825000,-0.255000,0.270000,2.849307
10.084,-2.834000,-0.263000,0.271000,2.859050
10.184,-2.823000,-0.266000,0.279000,2.849197
10.184,-2.818000,-0.261000,0.278000,2.843682
10.284,-2.822000,-0.266000,0.277000,2.848011
10.284,-2.828000,-0.255000,0.275000,2.852759
10.384,-2.823000,-0.255000,0.269000,2.847229
10.384,-2.826000,-0.256000,0.277000,2.851060
10.484,-2.819000,-0.257000,0.270000,2.843538
10.484,-2.822000,-0.260000,0.266000,2.846408
