radial_step,angle_deg,gx,gy,gz,bmag
0,189.82,4.588000,7.091000,-0.521000,8.461883
0,191.45,4.206000,7.118000,-0.432000,8.279069
0,193.09,3.823000,7.132000,-0.355000,8.099801
0,194.73,3.414000,7.143000,-0.265000,7.921368
0,196.36,2.912000,7.152000,-0.151000,7.723577
0,198.00,2.505000,7.142000,-0.068000,7.568871
0,199.64,2.100000,7.132000,0.021000,7.434774
0,201.27,1.681000,7.108000,0.129000,7.305208
0,202.91,1.275000,7.084000,0.202000,7.200659
0,204.55,0.882000,7.060000,0.295000,7.120994
0,206.18,0.497000,7.032000,0.370000,7.059245
0,207.82,0.112000,6.982000,0.458000,6.997902
0,209.45,-0.294000,6.928000,0.551000,6.956092
0,211.09,-0.704000,6.865000,0.648000,6.931360
0,212.73,-1.087000,6.804000,0.722000,6.928006
0,214.36,-1.546000,6.724000,0.835000,6.949785
0,216.00,-1.928000,6.649000,0.935000,6.985743
0,217.64,-2.288000,6.565000,1.004000,7.024399
0,219.27,-2.642000,6.474000,1.090000,7.076789
0,220.91,-3.013000,6.383000,1.174000,7.155357
0,222.55,-3.459000,6.264000,1.269000,7.267237
0,224.18,-3.817000,6.148000,1.356000,7.362481
0,225.82,-4.161000,6.034000,1.454000,7.472429
0,227.45,-4.495000,5.917000,1.525000,7.585614
0,229.09,-4.812000,5.796000,1.605000,7.702271
0,230.73,-5.234000,5.644000,1.684000,7.879426
0,232.36,-5.546000,5.505000,1.780000,8.014458
0,234.00,-5.866000,5.344000,1.868000,8.152160
0,235.64,-6.177000,5.197000,1.933000,8.300640
0,237.27,-6.514000,5.018000,2.021000,8.467406
0,238.91,-6.955000,4.767000,2.127000,8.696002
0,240.55,-7.289000,4.562000,2.202000,8.876383
0,242.18,-7.608000,4.349000,2.306000,9.061628
0,243.82,-7.861000,4.153000,2.366000,9.200037
0,245.45,-8.097000,3.973000,2.426000,9.339787
0,247.09,-8.351000,3.743000,2.505000,9.488112
0,248.73,-8.531000,3.565000,2.544000,9.589532
0,250.36,-8.715000,3.381000,2.604000,9.703773
0,252.00,-8.883000,3.215000,2.631000,9.806430
0,253.64,-9.022000,3.030000,2.686000,9.888983
0,255.27,-9.202000,2.784000,2.742000,9.997301
0,256.91,-9.331000,2.600000,2.781000,10.077774
0,258.55,-9.446000,2.425000,2.826000,10.153513
0,260.18,-9.566000,2.246000,2.843000,10.229151
0,261.82,-9.663000,2.030000,2.873000,10.283414
0,263.45,-9.760000,1.802000,2.913000,10.343615
0,265.09,-9.843000,1.600000,2.931000,10.394008
0,266.73,-9.902000,1.414000,2.969000,10.433789
0,268.36,-9.947000,1.224000,2.979000,10.455402
0,270.00,-9.992000,1.022000,2.987000,10.478870
0,271.64,-10.025000,0.787000,3.021000,10.499830
0,273.27,-10.033000,0.605000,3.035000,10.499445
